,log2FC,symbol
1735,6.7139233324999985,DIO3
285,5.59820045625,ANGPT2
3062,5.4457955585,HCRTR2
57452,5.3644956415,GALNT16
5426,5.1278189777500005,POLE
89958,5.1113602684999995,SAPCD2
54478,4.972751013750001,PIMREG
90632,4.921574925,LINC00473
5122,4.6513093990000005,PCSK1
8809,4.496869985999999,IL18R1
794,4.357663736249999,CALB2
641,4.18831401175,BLM
991,4.154557485250001,CDC20
2118,4.153797362,ETV4
6241,4.144899687249998,RRM2
6696,4.089663739500002,SPP1
51514,4.0877051710000005,DTL
5557,4.044822012,PRIM1
1392,4.036863365999999,CRH
10112,4.008851416500001,KIF20A
3161,3.9839163942500004,HMMR
24137,3.94099396,KIF4A
10721,3.92143365925,POLQ
990,3.9093329182499996,CDC6
23397,3.90606943075,NCAPH
1062,3.8857195834999985,CENPE
55388,3.8636295739999995,MCM10
2353,3.82368084675,FOS
10615,3.811835738250001,SPAG5
9134,3.805493833,CCNE2
2305,3.7895980282499995,FOXM1
56992,3.7800337105,KIF15
9787,3.7600568369999996,DLGAP5
51203,3.7501666764999992,NUSAP1
23462,3.7367319527500005,HEY1
118788,3.73192698175,PIK3AP1
113130,3.7206510232499994,CDCA5
983,3.6981393587499998,CDK1
57405,3.6941252962499997,SPC25
7049,3.689438182249999,TGFBR3
55355,3.6885849307499994,HJURP
55247,3.6865522920000005,NEIL3
4001,3.6843768582500003,LMNB1
3290,3.661388177750001,HSD11B1
6783,3.6500147074999996,SULT1E1
51659,3.608679427,GINS2
55789,3.537915970750001,DEPDC1B
4606,3.5376736782500005,MYBPC2
78989,3.51355253825,COLEC11
81610,3.4958391819999983,SACK1D
11004,3.4838733922499996,KIF2C
83540,3.4669391065,NUF2
64151,3.4652052200000005,NCAPG
9582,3.4650340679999996,APOBEC3B
79682,3.4401128924999997,CENPU
11065,3.4379826117500007,UBE2C
9768,3.4364497379999985,PCLAF
54443,3.4324147469999984,ANLN
7153,3.4072092437499997,TOP2A
9156,3.3718337465,EXO1
55635,3.352628824,DEPDC1
150468,3.3518396785,CKAP2L
9133,3.3397763499999993,CCNB2
3833,3.338076089500001,KIFC1
11130,3.331813541999999,ZWINT
332,3.32019261575,BIRC5
64946,3.31975689075,CENPH
55638,3.315909813,SYBU
245806,3.2893474625,VGLL2
55872,3.283160618250001,PBK
22974,3.2815936617499997,TPX2
9928,3.2792739497500003,KIF14
3398,3.2773544984999994,ID2
55086,3.2652530475000003,RADX
4885,3.2651718085,NPTX2
22795,3.2643546640000007,NID2
220042,3.2583716982500004,DDIAS
6790,3.256627987,AURKA
146909,3.2464259270000007,KIF18B
9212,3.2412094747499998,AURKB
7272,3.2290307045000004,TTK
11339,3.2147418114999997,OIP5
55143,3.2118323097500006,CDCA8
701,3.1968887735000013,BUB1B
11113,3.1850355164999997,CIT
671,3.1798617770000006,BPI
4085,3.178597205749999,MAD2L1
4171,3.1745954012500004,MCM2
8317,3.1720115445,CDC7
9055,3.165050296749998,PRC1
6941,3.1599960404999994,TCF19
79019,3.1544829240000007,CENPM
91752,3.1461573230000006,ZNF804A
7043,3.1331099064999997,TGFB3
51512,3.1308566517500003,GTSE1
116028,3.1258424505000004,RMI2
10535,3.1239461990000006,RNASEH2A
84057,3.11458532025,MND1
5427,3.106116322,POLE2
79801,3.0975855787500013,SHCBP1
3977,3.0889478710000002,LIFR
53358,3.08602423375,SHC3
7804,3.077183410749999,LRP8
387103,3.0564529365000004,CENPW
81620,3.0546060607500003,CDT1
57161,3.0491161044999995,PELI2
890,3.0485611255,CCNA2
3759,3.0461125972499996,KCNJ2
3832,3.046085753750001,KIF11
286133,3.0363144127500004,SCARA5
151246,3.0098717187499986,SGO2
5985,3.00432152725,RFC5
8438,2.9958965804999997,RAD54L
55215,2.9909708295,FANCI
9319,2.9883363772500005,TRIP13
79733,2.9788244175000003,E2F8
55117,2.9762147575000006,SLC6A15
94,2.974881122500001,ACVRL1
5359,2.9741111972499983,PLSCR1
81606,2.96489146375,LBH
1033,2.948054645,CDKN3
1058,2.9474332079999996,CENPA
63876,2.9375990869999997,PKNOX2
3070,2.937030136749999,HELLS
83461,2.928592182000001,CDCA3
100506731,2.9249243805,FLRT2-AS1
23594,2.923743914250002,ORC6
29028,2.8958462580000006,ATAD2
1462,2.8899940179999994,VCAN
8318,2.8726782784999987,CDC45
1543,2.869916055499999,CYP1A1
7083,2.8689251667499995,TK1
10635,2.8544692670000016,RAD51AP1
10036,2.84020901275,CHAF1A
23421,2.833669359499999,ITGB3BP
8991,2.8327495687499997,SELENBP1
55165,2.821268462,CEP55
9229,2.816709527,DLGAP1
1063,2.7992510499999996,CENPF
441478,2.79754555475,NRARP
22979,2.795783084,EFR3B
2189,2.7946576032499997,FANCG
2115,2.794021689250001,ETV1
84879,2.7922800050000007,MFSD2A
64105,2.7913097674999996,CENPK
80312,2.7863353504999995,TET1
9754,2.7541049020000004,STARD8
399694,2.75090952775,SHC4
23531,2.737180766,MMD
157313,2.7128378817499996,CDCA2
80731,2.7093998080000006,THSD7B
4176,2.7018051365,MCM7
4174,2.7016785199999998,MCM5
5577,2.698803510000001,PRKAR2B
221150,2.675836275,SKA3
54821,2.6738698017499996,ERCC6L
81848,2.6684396257500005,SPRY4
79888,2.6678484742500013,LPCAT1
93323,2.660727977,HAUS8
79071,2.655946832499999,ELOVL6
5168,2.6508121227499997,ENPP2
54997,2.64254416525,TESC
26271,2.641111327750001,FBXO5
441631,2.6374128412499998,TSPAN11
5422,2.6281587997499996,POLA1
898,2.62789965,CCNE1
2146,2.623182697,EZH2
100996280,2.6217625329999996,LINC00911
121268,2.619334627,RHEBL1
891,2.6166236725000003,CCNB1
121551,2.6132040442500006,ABTB3
56999,2.6115242007499995,ADAMTS9
2119,2.6104518889999984,ETV5
26577,2.6072444975,PCOLCE2
4288,2.60382543325,MKI67
2237,2.586196757749999,FEN1
5780,2.5672647494999996,PTPN9
1002,2.5607598204999995,CDH4
3975,2.5482841160000005,LHX1
9935,2.5427910324999994,MAFB
140462,2.52484445075,ASB9
8544,2.5211738035,PIR
10276,2.5209613499999985,NET1
165055,2.5091332865,CCDC138
220134,2.47962818425,SKA1
4751,2.47926098225,NEK2
113115,2.4766034467499995,MTFR2
143282,2.47648951725,FGFBP3
652,2.473030121,BMP4
