pert_desc,score,cell_id,pert_dose,pert_time,pubchem_id,classes
QUINACRINE HYDROCHLORIDE,0.3506,A375,10.0,24.0,23581813,
"""""""Ingenol 3, 20-dibenzoate""""""",0.3506,HCC515,10.0,24.0,5225086,
MK-2206,0.3506,HT29,10.0,24.0,24964624,PI3K/mTOR/AKT
-666,0.3463,MCF7,20.0,24.0,1285940,
BJM-ctd2-9,0.3463,MCF7,10.0,24.0,73707397,
mitoxantrone,0.3463,A375,0.12,24,5458171,TopoII/anthracycline
-666,0.342,MCF7,10.0,24.0,3926765,
-666,0.3377,HT29,48.0,24.0,7326481,
"3,5-dichloro-2-hydroxy-N-(2-methoxy-5-phenylphenyl)benzenesulfonamide",0.3377,PC3,80.0,24.0,16747776,
-666,0.3377,MCF7,10.0,24.0,3032818,
DL-PDMP,0.3333,HT29,64.0,24.0,16219895,
BMS-536924,0.3333,MCF7,11.1,24.0,11353973,
NVP-BEZ235,0.3333,A549,1.11,24,11977753,
-666,0.329,MCF7,10.0,24.0,8362,
palbociclib,0.329,HME1,3.33,24,5330286,CDK
palbociclib,0.329,HME1,10,24,5330286,CDK
MK-0591,0.3247,A375,80.0,24.0,60923,
dovitinib,0.3247,A375,1.11,24,9886808,
NVP-BEZ235,0.3247,A549,0.37,24,11977753,
BMS-754807,0.3203,A375,10.0,24.0,24785538,IGF1R
-666,0.3203,A375,11.1,24.0,227456,
PP-110,0.3203,HT29,22.2,24.0,24905203,
torin-2,0.3203,A549,0.37,24,51358113,PI3K/mTOR/AKT
-666,0.316,A375,10.0,24.0,5353993,
DG-041,0.316,A375,40.0,24.0,11296282,
-666,0.316,MCF7,0.35,24.0,4014291,
4-Demethoxydaunorubicin hydrochloride (65),0.316,MCF7,0.08,24.0,42594,TopoII/anthracycline
NVP-BEZ235,0.316,A549,0.04,24,11977753,
AG-879,0.3117,HCC515,10.0,24.0,5353385,
wortmannin,0.3117,A549,10.0,24.0,5691,PI3K/mTOR/AKT
Nutlin-3,0.3117,A375,44.4,24.0,216345,
AZD8055,0.3117,MCF7,10.0,24.0,25262965,
torin-2,0.3117,A549,1.11,24,51358113,PI3K/mTOR/AKT
dovitinib,0.3117,A549,10,24,9886808,
trametinib,0.3117,MCF10A,1.11,24,11707110,MEK/ERK
palbociclib,0.3117,HT29,0.37,24,5330286,CDK
mitoxantrone,0.3117,LNCAP,0.37,24,5458171,TopoII/anthracycline
Tyrphostin AG 1478,0.3074,A375,56.78,24.0,2051,
niguldipine hydrochloride,0.3074,HT29,10.0,24.0,71317558,
TG101348,0.3074,MCF7,11.1,24.0,16722836,
mitoxantrone,0.3074,A375,0.12,24,5458171,TopoII/anthracycline
PHA-793887,0.3074,HCC515,3.33,24,46191454,CDK
wortmannin,0.303,A375,10.0,24.0,5691,PI3K/mTOR/AKT
-666,0.303,HCC515,40.0,24.0,10322450,
CAM-9-027-3,0.303,HT29,10.0,24.0,49849912,
CAY10594,0.303,HT29,20.0,24.0,56588033,
-666,0.303,HT29,40.0,24.0,10322450,
B675700.cdx,0.303,MCF7,0.04,24.0,387447,
-666,0.303,MCF7,10.0,24.0,6708778,
-666,0.303,MCF7,10.0,24.0,4477,
