gene,ewing_mean,ewing_median,ewing_min,ewing_n,alllines_mean,alllines_median,ewing_selectivity(ewing_mean - all_mean),frac_ewing_dependent(<-0.5),role
OR2T4,0.014,-0.002,-0.212,19,-0.016,-0.027,0.03,0.0,control:neutral
EEF2,-2.416,-2.489,-3.141,27,-2.35,-2.45,-0.066,1.0,control:pan-essential
RPL3,-2.374,-2.297,-3.171,27,-2.533,-2.526,0.159,1.0,control:pan-essential
WEE1,-2.581,-2.566,-3.52,27,-2.455,-2.485,-0.126,1.0,target
MYC,-2.095,-2.057,-3.027,27,-1.743,-1.819,-0.352,1.0,target
CDK4,-1.53,-1.472,-2.742,27,-0.765,-0.618,-0.765,0.889,target
CCND1,-1.467,-1.529,-2.901,27,-0.982,-0.845,-0.485,0.889,target
BRD4,-0.962,-0.951,-1.399,27,-0.971,-0.969,0.009,1.0,target
IGF1R,-0.73,-0.595,-1.882,27,-0.315,-0.24,-0.415,0.704,target
INSR,-0.201,-0.168,-0.744,27,-0.136,-0.128,-0.065,0.111,target
CDK6,-0.048,-0.04,-0.276,27,-0.588,-0.505,0.541,0.0,target
CCND2,-0.033,-0.011,-0.342,27,-0.138,-0.078,0.105,0.0,target
ETV4,-0.032,-0.05,-0.172,27,-0.055,-0.057,0.023,0.0,target
IGF1,-0.029,-0.016,-0.295,27,-0.009,-0.008,-0.02,0.0,target
EZH2,0.01,0.026,-0.282,27,-0.085,-0.047,0.096,0.0,target
ETV1,0.076,0.106,-0.15,27,0.07,0.065,0.006,0.0,target
ETV5,0.138,0.153,-0.198,27,0.131,0.14,0.007,0.0,target
