ModelID,CellLineName,OncotreePrimaryDisease,OncotreeCode
ACH-000039,SK-N-MC,Ewing Sarcoma,ES
ACH-000041,RD-ES,Ewing Sarcoma,ES
ACH-000052,A-673,Ewing Sarcoma,ES
ACH-000087,SK-ES-1,Ewing Sarcoma,ES
ACH-000210,CADO-ES1,Ewing Sarcoma,ES
ACH-000279,EWS502,Ewing Sarcoma,ES
ACH-000391,MHH-ES-1,Ewing Sarcoma,ES
ACH-000424,TC-71,Ewing Sarcoma,ES
ACH-000499,EW8,Ewing Sarcoma,ES
ACH-001007,A673STAG2KO16,Ewing Sarcoma,ES
ACH-001008,A673STAG2KO45,Ewing Sarcoma,ES
ACH-001009,A673STAG2NT14,Ewing Sarcoma,ES
ACH-001010,A673STAG2NT23,Ewing Sarcoma,ES
ACH-001022,CB-AGPN,Ewing Sarcoma,ES
ACH-001029,CHLA-10,Ewing Sarcoma,ES
ACH-001030,CHLA-218,Ewing Sarcoma,ES
ACH-001032,CHLA-32,Ewing Sarcoma,ES
ACH-001034,CHLA-9,Ewing Sarcoma,ES
ACH-001035,CHLA-99,Ewing Sarcoma,ES
ACH-001038,COG-E-352,Ewing Sarcoma,ES
ACH-001066,EWS-834,Ewing Sarcoma,ES
ACH-001192,SK-NEP-1,Ewing Sarcoma,ES
ACH-001193,SK-PN-DW,Ewing Sarcoma,ES
ACH-001205,TC-32,Ewing Sarcoma,ES
ACH-001206,TTC-466,Ewing Sarcoma,ES
ACH-001282,CHLA-258,Ewing Sarcoma,ES
ACH-001283,TC-106,Ewing Sarcoma,ES
ACH-001427,CCLF_PEDS_0007_T,Ewing Sarcoma,ES
ACH-001428,CCLF_PEDS_0010_T,Ewing Sarcoma,ES
ACH-001430,TC-138,Ewing Sarcoma,ES
ACH-001431,TC-205,Ewing Sarcoma,ES
ACH-001643,SCCH-196,Ewing Sarcoma,ES
ACH-002103,ES1,Ewing Sarcoma,ES
ACH-002104,ES3,Ewing Sarcoma,ES
ACH-002105,ES4,Ewing Sarcoma,ES
ACH-002106,ES5,Ewing Sarcoma,ES
ACH-002107,ES6,Ewing Sarcoma,ES
ACH-002108,ES7,Ewing Sarcoma,ES
ACH-002109,ES8,Ewing Sarcoma,ES
ACH-002110,EW-1,Ewing Sarcoma,ES
ACH-002111,EW-11,Ewing Sarcoma,ES
ACH-002112,EW-12,Ewing Sarcoma,ES
ACH-002113,EW-13,Ewing Sarcoma,ES
ACH-002114,EW-16,Ewing Sarcoma,ES
ACH-002115,EW-18,Ewing Sarcoma,ES
ACH-002116,EW-22,Ewing Sarcoma,ES
ACH-002117,EW-24,Ewing Sarcoma,ES
ACH-002118,EW-3,Ewing Sarcoma,ES
ACH-002119,EW-7,Ewing Sarcoma,ES
ACH-002160,MC-IXC,Ewing Sarcoma,ES
ACH-002780,NCC-ES1-C1,Ewing Sarcoma,ES
