model	label	text	confidence	start	end
oncology_detection_superclinical	Gene_or_gene_product	BRD4	0.950	0	4
oncology_detection_superclinical	Gene_or_gene_product	CCND1	0.957	6	11
oncology_detection_superclinical	Gene_or_gene_product	CCND2	0.958	13	18
oncology_detection_superclinical	Gene_or_gene_product	CDK4	0.950	20	24
oncology_detection_superclinical	Gene_or_gene_product	CDK6	0.950	26	30
oncology_detection_superclinical	Gene_or_gene_product	EEF2	0.953	32	36
oncology_detection_superclinical	Gene_or_gene_product	ETV1	0.941	38	42
oncology_detection_superclinical	Gene_or_gene_product	ETV4	0.928	44	48
oncology_detection_superclinical	Gene_or_gene_product	ETV5	0.910	50	54
oncology_detection_superclinical	Gene_or_gene_product	EZH2	0.961	56	60
oncology_detection_superclinical	Gene_or_gene_product	IGF1	0.948	62	66
oncology_detection_superclinical	Gene_or_gene_product	IGF1R	0.955	68	73
oncology_detection_superclinical	Gene_or_gene_product	INSR	0.936	75	79
oncology_detection_superclinical	Gene_or_gene_product	MYC	0.918	81	84
oncology_detection_superclinical	Gene_or_gene_product	OR2T4	0.939	86	91
oncology_detection_superclinical	Gene_or_gene_product	RPL3	0.937	93	97
oncology_detection_superclinical	Gene_or_gene_product	WEE1	0.842	99	103
oncology_detection_superclinical	Cancer	Ewing sarcoma	0.949	105	118
oncology_detection_superclinical	Cancer	CIC-DUX4 sarcoma	0.912	120	136
genome_detection_bioclinical	GENE/PROTEIN	BRD4	0.941	0	4
genome_detection_bioclinical	GENE/PROTEIN	CCND1	0.948	6	11
genome_detection_bioclinical	GENE/PROTEIN	CCND2	0.947	13	18
genome_detection_bioclinical	GENE/PROTEIN	CDK4	0.952	20	24
genome_detection_bioclinical	GENE/PROTEIN	CDK6	0.948	26	30
genome_detection_bioclinical	GENE/PROTEIN	EEF2	0.924	32	36
genome_detection_bioclinical	GENE/PROTEIN	ETV1	0.567	38	42
genome_detection_bioclinical	GENE/PROTEIN	ETV4	0.666	44	48
genome_detection_bioclinical	GENE/PROTEIN	ETV5	0.847	50	54
genome_detection_bioclinical	GENE/PROTEIN	EZH2	0.946	56	60
genome_detection_bioclinical	GENE/PROTEIN	IGF1	0.930	62	66
genome_detection_bioclinical	GENE/PROTEIN	IGF1R	0.935	68	73
genome_detection_bioclinical	GENE/PROTEIN	INSR	0.499	75	79
genome_detection_bioclinical	GENE/PROTEIN	MYC	0.935	81	84
genome_detection_bioclinical	GENE/PROTEIN	OR2T4	0.852	86	91
genome_detection_bioclinical	GENE/PROTEIN	RPL3	0.949	93	97
genome_detection_bioclinical	GENE/PROTEIN	WEE1	0.944	99	103
genome_detection_bioclinical	GENE/PROTEIN	CIC-DUX4	0.868	120	128
protein_detection_pubmed	protein	BRD4	0.941	0	4
protein_detection_pubmed	protein	CCND1	0.942	6	11
protein_detection_pubmed	protein	CCND2	0.942	13	18
protein_detection_pubmed	protein	CDK4	0.941	20	24
protein_detection_pubmed	protein	CDK6	0.938	26	30
protein_detection_pubmed	protein	EEF2	0.935	32	36
protein_detection_pubmed	protein	ETV1	0.941	38	42
protein_detection_pubmed	protein	ETV4	0.946	44	48
protein_detection_pubmed	protein	ETV5	0.944	50	54
protein_detection_pubmed	protein	EZH2	0.941	56	60
protein_detection_pubmed	protein	IGF1	0.942	62	66
protein_detection_pubmed	protein	IGF1R	0.940	68	73
protein_detection_pubmed	protein	INSR	0.940	75	79
protein_detection_pubmed	protein	MYC	0.939	81	84
protein_detection_pubmed	protein	OR2T4	0.940	86	91
protein_detection_pubmed	protein	RPL3	0.939	93	97
protein_detection_pubmed	protein	WEE1	0.938	99	103
protein_detection_pubmed	protein	CIC-DUX4	0.871	120	128
