model	label	text	confidence	start	end
oncology_detection_superclinical	Gene_or_gene_product	CIC-DUX4	0.944	0	8
oncology_detection_superclinical	Gene_or_gene_product	IGF1R	0.959	10	15
oncology_detection_superclinical	Gene_or_gene_product	RAS	0.952	17	20
oncology_detection_superclinical	Gene_or_gene_product	ERK	0.960	22	25
oncology_detection_superclinical	Organism	CIC	0.856	27	30
oncology_detection_superclinical	Organism	ETV4	0.588	32	36
oncology_detection_superclinical	Organism	ETV5	0.469	38	42
oncology_detection_superclinical	Gene_or_gene_product	BRD4	0.950	44	48
oncology_detection_superclinical	Gene_or_gene_product	CCND1	0.960	50	55
oncology_detection_superclinical	Gene_or_gene_product	CCND2	0.958	57	62
oncology_detection_superclinical	Gene_or_gene_product	CDK4	0.953	64	68
oncology_detection_superclinical	Gene_or_gene_product	CDK6	0.952	70	74
oncology_detection_superclinical	Gene_or_gene_product	CDK2	0.951	76	80
oncology_detection_superclinical	Gene_or_gene_product	CCNE1	0.955	82	87
oncology_detection_superclinical	Gene_or_gene_product	RB1	0.941	89	92
oncology_detection_superclinical	Gene_or_gene_product	E2F	0.939	94	97
oncology_detection_superclinical	Gene_or_gene_product	WEE1	0.950	99	103
oncology_detection_superclinical	Gene_or_gene_product	MYC	0.953	105	108
pharma_detection_superclinical	CHEM	CIC-DUX4	0.935	0	8
protein_detection_pubmed	protein	CIC-DUX4	0.936	0	8
protein_detection_pubmed	protein	IGF1R	0.938	10	15
protein_detection_pubmed	protein_familiy_or_group	RAS	0.948	17	20
protein_detection_pubmed	protein_familiy_or_group	ERK	0.944	22	25
protein_detection_pubmed	protein	CIC	0.922	27	30
protein_detection_pubmed	protein	ETV4	0.940	32	36
protein_detection_pubmed	protein	ETV5	0.940	38	42
protein_detection_pubmed	protein	BRD4	0.941	44	48
protein_detection_pubmed	protein	CCND1	0.942	50	55
protein_detection_pubmed	protein	CCND2	0.941	57	62
protein_detection_pubmed	protein	CDK4	0.940	64	68
protein_detection_pubmed	protein	CDK6	0.937	70	74
protein_detection_pubmed	protein	CDK2	0.941	76	80
protein_detection_pubmed	protein	CCNE1	0.941	82	87
protein_detection_pubmed	protein	RB1	0.939	89	92
protein_detection_pubmed	protein_familiy_or_group	E2F	0.900	94	97
protein_detection_pubmed	protein	WEE1	0.940	99	103
protein_detection_pubmed	protein	MYC	0.937	105	108
