variable,fusion,inhibition,Cy
MEKi,ON,0.0,0.528
MEKi,ON,0.1,0.528
MEKi,ON,0.2,0.527
MEKi,ON,0.3,0.526
MEKi,ON,0.4,0.526
MEKi,ON,0.5,0.524
MEKi,ON,0.6,0.523
MEKi,ON,0.7,0.521
MEKi,ON,0.8,0.518
MEKi,ON,0.9,0.513
MEKi,ON,1.0,0.5
MEKi,OFF,0.0,0.422
MEKi,OFF,0.1,0.419
MEKi,OFF,0.2,0.415
MEKi,OFF,0.3,0.41
MEKi,OFF,0.4,0.404
MEKi,OFF,0.5,0.396
MEKi,OFF,0.6,0.385
MEKi,OFF,0.7,0.369
MEKi,OFF,0.8,0.343
MEKi,OFF,0.9,0.289
MEKi,OFF,1.0,-0.0
BRD4i,ON,0.0,0.528
BRD4i,ON,0.1,0.521
BRD4i,ON,0.2,0.513
BRD4i,ON,0.3,0.503
BRD4i,ON,0.4,0.489
BRD4i,ON,0.5,0.472
BRD4i,ON,0.6,0.448
BRD4i,ON,0.7,0.413
BRD4i,ON,0.8,0.358
BRD4i,ON,0.9,0.255
BRD4i,ON,1.0,-0.0
BRD4i,OFF,0.0,0.422
BRD4i,OFF,0.1,0.409
BRD4i,OFF,0.2,0.393
BRD4i,OFF,0.3,0.375
BRD4i,OFF,0.4,0.353
BRD4i,OFF,0.5,0.326
BRD4i,OFF,0.6,0.292
BRD4i,OFF,0.7,0.25
BRD4i,OFF,0.8,0.193
BRD4i,OFF,0.9,0.115
BRD4i,OFF,1.0,-0.0
