model	label	text	confidence	start	end
disease_detection_superclinical	DISEASE	senescence	0.940	219	229
oncology_detection_superclinical	Gene_or_gene_product	CIC-DUX4	0.949	0	8
oncology_detection_superclinical	Gene_or_gene_product	NLRC5	0.957	10	15
oncology_detection_superclinical	Gene_or_gene_product	HLA-A	0.950	17	22
oncology_detection_superclinical	Gene_or_gene_product	B2M	0.929	24	27
oncology_detection_superclinical	Gene_or_gene_product	TAP1	0.945	29	33
oncology_detection_superclinical	Gene_or_gene_product	CD274	0.936	35	40
oncology_detection_superclinical	Gene_or_gene_product	PD-L1	0.956	42	47
oncology_detection_superclinical	Gene_or_gene_product	PVR	0.941	49	52
oncology_detection_superclinical	Gene_or_gene_product	CD155	0.940	54	59
oncology_detection_superclinical	Gene_or_gene_product	NECTIN2	0.954	61	68
oncology_detection_superclinical	Gene_or_gene_product	CD112	0.949	70	75
oncology_detection_superclinical	Gene_or_gene_product	TIGIT	0.954	77	82
oncology_detection_superclinical	Gene_or_gene_product	CD226	0.940	84	89
oncology_detection_superclinical	Gene_or_gene_product	DNAM-1	0.954	91	97
oncology_detection_superclinical	Gene_or_gene_product	MICA	0.944	99	103
oncology_detection_superclinical	Gene_or_gene_product	ULBP2	0.954	105	110
oncology_detection_superclinical	Gene_or_gene_product	HLA-E	0.948	112	117
oncology_detection_superclinical	Gene_or_gene_product	CDK4	0.947	119	123
oncology_detection_superclinical	Gene_or_gene_product	CDK6	0.953	125	129
oncology_detection_superclinical	Gene_or_gene_product	RB1	0.941	131	134
oncology_detection_superclinical	Gene_or_gene_product	E2F	0.940	136	139
oncology_detection_superclinical	Gene_or_gene_product	CDKN1A	0.952	141	147
oncology_detection_superclinical	Gene_or_gene_product	BRD4	0.940	149	153
oncology_detection_superclinical	Gene_or_gene_product	ETV4	0.936	155	159
oncology_detection_superclinical	Gene_or_gene_product	WEE1	0.943	161	165
oncology_detection_superclinical	Gene_or_gene_product	interferon	0.920	167	177
oncology_detection_superclinical	Cell	natural killer cell	0.896	179	198
oncology_detection_superclinical	Cell	regulatory T cell	0.951	200	217
anatomy_detection_electramed	Anatomy	natural killer cell	0.942	179	198
anatomy_detection_electramed	Anatomy	regulatory T cell	0.849	200	217
