intervention,n,Prolif,MHCI,NKG2D_L,DNAM_active,Tcell_kill,NK_kill,ImmuneKill,Senescent,Cleared,TargetState
none,0,1,0,0,0,0,0,0,0,0,0
EpiPrime,1,1,1,0,0,0,0,0,0,0,0
CDK46i,1,0,1,1,0,0,0,0,1,0,0
Diff,1,0,0,0,0,0,0,0,0,0,0
BETi,1,0,0,0,0,0,0,0,0,0,0
aPD1,1,1,0,0,0,0,0,0,0,0,0
aTIGIT,1,1,0,0,1,0,0,0,0,0,0
NKarm,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+CDK46i,2,0,1,1,0,0,0,0,1,0,0
EpiPrime+Diff,2,0,1,0,0,0,0,0,0,0,0
EpiPrime+BETi,2,0,1,0,0,0,0,0,0,0,0
EpiPrime+aPD1,2,1,1,0,0,0,0,0,0,0,0
EpiPrime+aTIGIT,2,1,1,0,1,0,0,0,0,0,0
EpiPrime+NKarm,2,1,1,0,0,0,0,0,0,0,0
CDK46i+Diff,2,0,1,1,0,0,0,0,1,0,0
CDK46i+BETi,2,0,1,1,0,0,0,0,1,0,0
CDK46i+aPD1,2,0,1,1,0,0,0,0,1,0,0
CDK46i+aTIGIT,2,0,1,1,1,0,1,1,1,1,1
CDK46i+NKarm,2,0,1,1,0,0,0,0,1,0,0
Diff+BETi,2,0,0,0,0,0,0,0,0,0,0
Diff+aPD1,2,0,0,0,0,0,0,0,0,0,0
Diff+aTIGIT,2,0,0,0,1,0,0,0,0,0,0
Diff+NKarm,2,0,0,0,0,0,0,0,0,0,0
BETi+aPD1,2,0,0,0,0,0,0,0,0,0,0
BETi+aTIGIT,2,0,0,0,1,0,0,0,0,0,0
BETi+NKarm,2,0,0,0,0,0,0,0,0,0,0
aPD1+aTIGIT,2,1,0,0,1,0,0,0,0,0,0
aPD1+NKarm,2,1,0,0,0,0,0,0,0,0,0
aTIGIT+NKarm,2,1,0,0,1,0,0,0,0,0,0
EpiPrime+CDK46i+Diff,3,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi,3,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1,3,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aTIGIT,3,0,1,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+NKarm,3,0,1,1,0,0,0,0,1,0,0
EpiPrime+Diff+BETi,3,0,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1,3,0,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT,3,0,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+NKarm,3,0,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aPD1,3,0,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT,3,0,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+NKarm,3,0,1,0,0,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT,3,1,1,0,1,0,0,0,0,0,0
EpiPrime+aPD1+NKarm,3,1,1,0,0,0,0,0,0,0,0
EpiPrime+aTIGIT+NKarm,3,1,1,0,1,0,0,0,0,0,0
CDK46i+Diff+BETi,3,0,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1,3,0,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aTIGIT,3,0,1,1,1,0,1,1,1,1,1
CDK46i+Diff+NKarm,3,0,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aPD1,3,0,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aTIGIT,3,0,1,1,1,0,1,1,1,1,1
CDK46i+BETi+NKarm,3,0,1,1,0,0,0,0,1,0,0
CDK46i+aPD1+aTIGIT,3,0,1,1,1,1,1,1,1,1,1
CDK46i+aPD1+NKarm,3,0,1,1,0,0,0,0,1,0,0
CDK46i+aTIGIT+NKarm,3,0,1,1,1,0,1,1,1,1,1
Diff+BETi+aPD1,3,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aTIGIT,3,0,0,0,1,0,0,0,0,0,0
Diff+BETi+NKarm,3,0,0,0,0,0,0,0,0,0,0
Diff+aPD1+aTIGIT,3,0,0,0,1,0,0,0,0,0,0
Diff+aPD1+NKarm,3,0,0,0,0,0,0,0,0,0,0
Diff+aTIGIT+NKarm,3,0,0,0,1,0,0,0,0,0,0
BETi+aPD1+aTIGIT,3,0,0,0,1,0,0,0,0,0,0
BETi+aPD1+NKarm,3,0,0,0,0,0,0,0,0,0,0
BETi+aTIGIT+NKarm,3,0,0,0,1,0,0,0,0,0,0
aPD1+aTIGIT+NKarm,3,1,0,0,1,0,0,0,0,0,0
EpiPrime+CDK46i+Diff+BETi,4,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1,4,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aTIGIT,4,0,1,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+NKarm,4,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1,4,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aTIGIT,4,0,1,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+BETi+NKarm,4,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+aTIGIT,4,0,1,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+aPD1+NKarm,4,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aTIGIT+NKarm,4,0,1,1,1,0,1,1,1,1,1
EpiPrime+Diff+BETi+aPD1,4,0,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT,4,0,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+NKarm,4,0,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT,4,0,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+aPD1+NKarm,4,0,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT+NKarm,4,0,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aTIGIT,4,0,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+NKarm,4,0,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT+NKarm,4,0,1,0,1,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT+NKarm,4,1,1,0,1,0,0,0,0,0,0
CDK46i+Diff+BETi+aPD1,4,0,1,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aTIGIT,4,0,1,1,1,0,1,1,1,1,1
CDK46i+Diff+BETi+NKarm,4,0,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1+aTIGIT,4,0,1,1,1,1,1,1,1,1,1
CDK46i+Diff+aPD1+NKarm,4,0,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aTIGIT+NKarm,4,0,1,1,1,0,1,1,1,1,1
CDK46i+BETi+aPD1+aTIGIT,4,0,1,1,1,1,1,1,1,1,1
CDK46i+BETi+aPD1+NKarm,4,0,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aTIGIT+NKarm,4,0,1,1,1,0,1,1,1,1,1
CDK46i+aPD1+aTIGIT+NKarm,4,0,1,1,1,1,1,1,1,1,1
Diff+BETi+aPD1+aTIGIT,4,0,0,0,1,0,0,0,0,0,0
Diff+BETi+aPD1+NKarm,4,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aTIGIT+NKarm,4,0,0,0,1,0,0,0,0,0,0
Diff+aPD1+aTIGIT+NKarm,4,0,0,0,1,0,0,0,0,0,0
BETi+aPD1+aTIGIT+NKarm,4,0,0,0,1,0,0,0,0,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1,5,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aTIGIT,5,0,1,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+NKarm,5,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+aTIGIT,5,0,1,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+aPD1+NKarm,5,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aTIGIT+NKarm,5,0,1,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+BETi+aPD1+aTIGIT,5,0,1,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+BETi+aPD1+NKarm,5,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aTIGIT+NKarm,5,0,1,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+aPD1+aTIGIT+NKarm,5,0,1,1,1,1,1,1,1,1,1
EpiPrime+Diff+BETi+aPD1+aTIGIT,5,0,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+NKarm,5,0,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT+NKarm,5,0,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT+NKarm,5,0,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aTIGIT+NKarm,5,0,1,0,1,0,0,0,0,0,0
CDK46i+Diff+BETi+aPD1+aTIGIT,5,0,1,1,1,1,1,1,1,1,1
CDK46i+Diff+BETi+aPD1+NKarm,5,0,1,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aTIGIT+NKarm,5,0,1,1,1,0,1,1,1,1,1
CDK46i+Diff+aPD1+aTIGIT+NKarm,5,0,1,1,1,1,1,1,1,1,1
CDK46i+BETi+aPD1+aTIGIT+NKarm,5,0,1,1,1,1,1,1,1,1,1
Diff+BETi+aPD1+aTIGIT+NKarm,5,0,0,0,1,0,0,0,0,0,0
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT,6,0,1,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+aPD1+NKarm,6,0,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aTIGIT+NKarm,6,0,1,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+aPD1+aTIGIT+NKarm,6,0,1,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+BETi+aPD1+aTIGIT+NKarm,6,0,1,1,1,1,1,1,1,1,1
EpiPrime+Diff+BETi+aPD1+aTIGIT+NKarm,6,0,1,0,1,0,0,0,0,0,0
CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm,6,0,1,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+Diff+BETi+aPD1+aTIGIT+NKarm,7,0,1,1,1,1,1,1,1,1,1
