order,viable_route,aborted_at_step,failure_mode
CDKN2A_loss -> amplify -> apop_buffer -> fusion -> immortalize -> progenitor,True,,
CDKN2A_loss -> amplify -> apop_buffer -> fusion -> progenitor -> immortalize,True,,
CDKN2A_loss -> amplify -> apop_buffer -> immortalize -> fusion -> progenitor,True,,
CDKN2A_loss -> amplify -> apop_buffer -> immortalize -> progenitor -> fusion,True,,
CDKN2A_loss -> amplify -> apop_buffer -> progenitor -> fusion -> immortalize,True,,
CDKN2A_loss -> amplify -> apop_buffer -> progenitor -> immortalize -> fusion,True,,
CDKN2A_loss -> amplify -> fusion -> apop_buffer -> immortalize -> progenitor,True,,
CDKN2A_loss -> amplify -> fusion -> apop_buffer -> progenitor -> immortalize,True,,
CDKN2A_loss -> amplify -> fusion -> immortalize -> apop_buffer -> progenitor,True,,
CDKN2A_loss -> amplify -> fusion -> immortalize -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> amplify -> fusion -> progenitor -> apop_buffer -> immortalize,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> amplify -> fusion -> progenitor -> immortalize -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> amplify -> immortalize -> apop_buffer -> fusion -> progenitor,True,,
CDKN2A_loss -> amplify -> immortalize -> apop_buffer -> progenitor -> fusion,True,,
CDKN2A_loss -> amplify -> immortalize -> fusion -> apop_buffer -> progenitor,True,,
CDKN2A_loss -> amplify -> immortalize -> fusion -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> amplify -> immortalize -> progenitor -> apop_buffer -> fusion,True,,
CDKN2A_loss -> amplify -> immortalize -> progenitor -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> amplify -> progenitor -> apop_buffer -> fusion -> immortalize,True,,
CDKN2A_loss -> amplify -> progenitor -> apop_buffer -> immortalize -> fusion,True,,
CDKN2A_loss -> amplify -> progenitor -> fusion -> apop_buffer -> immortalize,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
