progenitor,fusion,apop_buffer,TP53_loss,CDKN2A_loss,immortalize,amplify,n_inputs,chromatin_open,ets_on,apoptosis_blocked,senescence_blocked,dominant,immortal,outcome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,no driver
0,0,0,0,0,0,1,1,0,0,0,0,0,0,no driver
0,0,0,0,0,1,0,1,0,0,0,0,0,1,no driver
0,0,0,0,0,1,1,2,0,0,0,0,0,1,no driver
0,0,0,0,1,0,0,1,0,0,0,1,0,0,no driver
0,0,0,0,1,0,1,2,0,0,0,1,0,0,no driver
0,0,0,0,1,1,0,2,0,0,0,1,0,1,no driver
0,0,0,0,1,1,1,3,0,0,0,1,0,1,no driver
0,0,0,1,0,0,0,1,0,0,0,1,0,0,no driver
0,0,0,1,0,0,1,2,0,0,0,1,0,0,no driver
0,0,0,1,0,1,0,2,0,0,0,1,0,1,no driver
0,0,0,1,0,1,1,3,0,0,0,1,0,1,no driver
0,0,0,1,1,0,0,2,0,0,0,1,0,0,no driver
0,0,0,1,1,0,1,3,0,0,0,1,0,0,no driver
0,0,0,1,1,1,0,3,0,0,0,1,0,1,no driver
0,0,0,1,1,1,1,4,0,0,0,1,0,1,no driver
0,0,1,0,0,0,0,1,0,0,1,0,0,0,no driver
0,0,1,0,0,0,1,2,0,0,1,0,0,0,no driver
0,0,1,0,0,1,0,2,0,0,1,0,0,1,no driver
0,0,1,0,0,1,1,3,0,0,1,0,0,1,no driver
0,0,1,0,1,0,0,2,0,0,1,1,0,0,no driver
0,0,1,0,1,0,1,3,0,0,1,1,0,0,no driver
0,0,1,0,1,1,0,3,0,0,1,1,0,1,no driver
0,0,1,0,1,1,1,4,0,0,1,1,0,1,no driver
0,0,1,1,0,0,0,2,0,0,1,1,0,0,no driver
0,0,1,1,0,0,1,3,0,0,1,1,0,0,no driver
0,0,1,1,0,1,0,3,0,0,1,1,0,1,no driver
0,0,1,1,0,1,1,4,0,0,1,1,0,1,no driver
0,0,1,1,1,0,0,3,0,0,1,1,0,0,no driver
0,0,1,1,1,0,1,4,0,0,1,1,0,0,no driver
0,0,1,1,1,1,0,4,0,0,1,1,0,1,no driver
0,0,1,1,1,1,1,5,0,0,1,1,0,1,no driver
0,1,0,0,0,0,0,1,0,0,0,0,0,0,no oncogenic program (no permissive substrate)
0,1,0,0,0,0,1,2,0,0,0,0,0,0,no oncogenic program (no permissive substrate)
0,1,0,0,0,1,0,2,0,0,0,0,0,1,no oncogenic program (no permissive substrate)
0,1,0,0,0,1,1,3,0,0,0,0,0,1,no oncogenic program (no permissive substrate)
0,1,0,0,1,0,0,2,0,0,0,1,0,0,no oncogenic program (no permissive substrate)
0,1,0,0,1,0,1,3,0,0,0,1,0,0,no oncogenic program (no permissive substrate)
0,1,0,0,1,1,0,3,0,0,0,1,0,1,no oncogenic program (no permissive substrate)
0,1,0,0,1,1,1,4,0,0,0,1,0,1,no oncogenic program (no permissive substrate)
0,1,0,1,0,0,0,2,0,0,0,1,0,0,no oncogenic program (no permissive substrate)
0,1,0,1,0,0,1,3,0,0,0,1,0,0,no oncogenic program (no permissive substrate)
0,1,0,1,0,1,0,3,0,0,0,1,0,1,no oncogenic program (no permissive substrate)
0,1,0,1,0,1,1,4,0,0,0,1,0,1,no oncogenic program (no permissive substrate)
0,1,0,1,1,0,0,3,0,0,0,1,0,0,no oncogenic program (no permissive substrate)
0,1,0,1,1,0,1,4,0,0,0,1,0,0,no oncogenic program (no permissive substrate)
0,1,0,1,1,1,0,4,0,0,0,1,0,1,no oncogenic program (no permissive substrate)
0,1,0,1,1,1,1,5,0,0,0,1,0,1,no oncogenic program (no permissive substrate)
0,1,1,0,0,0,0,2,0,0,1,0,0,0,no oncogenic program (no permissive substrate)
0,1,1,0,0,0,1,3,0,0,1,0,0,0,no oncogenic program (no permissive substrate)
0,1,1,0,0,1,0,3,0,0,1,0,0,1,no oncogenic program (no permissive substrate)
0,1,1,0,0,1,1,4,0,0,1,0,0,1,no oncogenic program (no permissive substrate)
0,1,1,0,1,0,0,3,0,0,1,1,0,0,no oncogenic program (no permissive substrate)
0,1,1,0,1,0,1,4,0,0,1,1,0,0,no oncogenic program (no permissive substrate)
0,1,1,0,1,1,0,4,0,0,1,1,0,1,no oncogenic program (no permissive substrate)
0,1,1,0,1,1,1,5,0,0,1,1,0,1,no oncogenic program (no permissive substrate)
0,1,1,1,0,0,0,3,0,0,1,1,0,0,no oncogenic program (no permissive substrate)
0,1,1,1,0,0,1,4,0,0,1,1,0,0,no oncogenic program (no permissive substrate)
0,1,1,1,0,1,0,4,0,0,1,1,0,1,no oncogenic program (no permissive substrate)
0,1,1,1,0,1,1,5,0,0,1,1,0,1,no oncogenic program (no permissive substrate)
0,1,1,1,1,0,0,4,0,0,1,1,0,0,no oncogenic program (no permissive substrate)
0,1,1,1,1,0,1,5,0,0,1,1,0,0,no oncogenic program (no permissive substrate)
0,1,1,1,1,1,0,5,0,0,1,1,0,1,no oncogenic program (no permissive substrate)
0,1,1,1,1,1,1,6,0,0,1,1,0,1,no oncogenic program (no permissive substrate)
1,0,0,0,0,0,0,1,1,0,0,0,0,0,no driver
1,0,0,0,0,0,1,2,1,0,0,0,0,0,no driver
1,0,0,0,0,1,0,2,1,0,0,0,0,1,no driver
1,0,0,0,0,1,1,3,1,0,0,0,0,1,no driver
1,0,0,0,1,0,0,2,1,0,0,1,0,0,no driver
1,0,0,0,1,0,1,3,1,0,0,1,0,0,no driver
1,0,0,0,1,1,0,3,1,0,0,1,0,1,no driver
1,0,0,0,1,1,1,4,1,0,0,1,0,1,no driver
1,0,0,1,0,0,0,2,1,0,0,1,0,0,no driver
1,0,0,1,0,0,1,3,1,0,0,1,0,0,no driver
1,0,0,1,0,1,0,3,1,0,0,1,0,1,no driver
1,0,0,1,0,1,1,4,1,0,0,1,0,1,no driver
1,0,0,1,1,0,0,3,1,0,0,1,0,0,no driver
1,0,0,1,1,0,1,4,1,0,0,1,0,0,no driver
1,0,0,1,1,1,0,4,1,0,0,1,0,1,no driver
1,0,0,1,1,1,1,5,1,0,0,1,0,1,no driver
1,0,1,0,0,0,0,2,1,0,1,0,0,0,no driver
1,0,1,0,0,0,1,3,1,0,1,0,0,0,no driver
1,0,1,0,0,1,0,3,1,0,1,0,0,1,no driver
1,0,1,0,0,1,1,4,1,0,1,0,0,1,no driver
1,0,1,0,1,0,0,3,1,0,1,1,0,0,no driver
1,0,1,0,1,0,1,4,1,0,1,1,0,0,no driver
1,0,1,0,1,1,0,4,1,0,1,1,0,1,no driver
1,0,1,0,1,1,1,5,1,0,1,1,0,1,no driver
1,0,1,1,0,0,0,3,1,0,1,1,0,0,no driver
1,0,1,1,0,0,1,4,1,0,1,1,0,0,no driver
1,0,1,1,0,1,0,4,1,0,1,1,0,1,no driver
1,0,1,1,0,1,1,5,1,0,1,1,0,1,no driver
1,0,1,1,1,0,0,4,1,0,1,1,0,0,no driver
1,0,1,1,1,0,1,5,1,0,1,1,0,0,no driver
