model	label	text	confidence	start	end
protein_detection_pubmed	protein_familiy_or_group	KIR	0.946	10	13
protein_detection_pubmed	protein	NKG2D	0.933	15	20
protein_detection_pubmed	protein	MICA	0.936	22	26
protein_detection_pubmed	protein	MICB	0.931	28	32
protein_detection_pubmed	protein	ULBP	0.829	34	38
protein_detection_pubmed	protein	DNAM-1	0.937	40	46
protein_detection_pubmed	protein	CD226	0.933	48	53
protein_detection_pubmed	protein	PVR	0.720	55	58
protein_detection_pubmed	protein	CD155	0.932	60	65
protein_detection_pubmed	protein	Nectin-2	0.934	67	75
protein_detection_pubmed	protein	CD112	0.931	77	82
protein_detection_pubmed	protein	NKG2A	0.924	84	89
protein_detection_pubmed	protein	HLA-E	0.928	91	96
protein_detection_pubmed	protein	HLA-A	0.917	98	103
protein_detection_pubmed	protein	HLA-B	0.927	105	110
protein_detection_pubmed	protein	HLA-C	0.934	112	117
protein_detection_pubmed	protein	B2M	0.929	119	122
protein_detection_pubmed	protein	TAP1	0.931	124	128
protein_detection_pubmed	protein	TAP2	0.930	130	134
protein_detection_pubmed	protein	VDR	0.918	148	151
protein_detection_pubmed	protein	IL-15	0.895	159	164
protein_detection_pubmed	protein	AFM13	0.749	201	206
protein_detection_pubmed	protein	acimtamig	0.907	208	217
protein_detection_pubmed	protein	CD30	0.928	219	223
protein_detection_pubmed	protein	CD16A	0.930	225	230
protein_detection_pubmed	protein	GPC2	0.931	232	236
protein_detection_pubmed	protein	EZH2	0.902	305	309
protein_detection_pubmed	protein_familiy_or_group	HDAC	0.925	311	315
protein_detection_pubmed	protein_familiy_or_group	DNMT	0.839	317	321
anatomy_detection_electramed	Anatomy	NK cells	0.960	0	8
